time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
31.206815,0.577160271442,0.226262166213,-2.0639711501,1.71077207369,1.22181569755,1.94777210542,0.372757331456,0.0,-0.5951845457,0.397301024062,2.04556338065,1.42391766635,-1.68967983786,1.89216530186,-2.28294690757,0.0
31.216737,0.579077747427,0.225878671016,-2.0643546453,1.71115556889,1.22219919275,1.94700511502,0.372757331456,0.0,-0.5951845457,0.397684519259,2.04517988545,1.42353417116,-1.68814585707,1.89331578745,-2.28064593639,0.0
31.226742,0.579077747427,0.225878671016,-2.0643546453,1.71115556889,1.22219919275,1.94700511502,0.372757331456,0.0,-0.5951845457,0.397684519259,2.04517988545,1.42353417116,-1.68814585707,1.89331578745,-2.28064593639,0.0
31.236784,0.577927261836,0.225878671016,-2.0635876549,1.71038857849,1.22104870716,1.94853909581,0.37352432185,0.0,-0.5951845457,0.396534033668,2.04402939986,1.4185487336,-1.68622838108,1.89523326343,-2.27719447962,0.0
31.246764,0.577927261836,0.225878671016,-2.0635876549,1.71038857849,1.22104870716,1.94853909581,0.37352432185,0.0,-0.5951845457,0.396534033668,2.04402939986,1.4185487336,-1.68622838108,1.89523326343,-2.27719447962,0.0
31.256741,0.577543766639,0.226262166213,-2.0635876549,1.71115556889,1.22258268794,1.94777210542,0.372757331456,0.0,-0.594801050503,0.396917528865,2.04287891427,1.41624776242,-1.6843109051,1.89484976824,-2.27566049883,0.0
31.267004,0.577160271442,0.225878671016,-2.0639711501,1.7100050833,1.22181569755,1.94815560061,0.372757331456,0.0,-0.594034060109,0.396150538471,2.04134493348,1.41241281045,-1.68200993392,1.89638374902,-2.26990807087,0.0
31.276819,0.577160271442,0.225878671016,-2.0639711501,1.7100050833,1.22181569755,1.94815560061,0.372757331456,0.0,-0.594034060109,0.396150538471,2.04134493348,1.41241281045,-1.68200993392,1.89638374902,-2.26990807087,0.0
31.286704,0.578310757033,0.225878671016,-2.0643546453,1.7096215881,1.22181569755,1.94700511502,0.372757331456,0.0,-0.594801050503,0.397301024062,2.04134493348,1.41049533446,-1.67932546754,1.89638374902,-2.26760709969,0.0
31.296744,0.578310757033,0.226262166213,-2.06320415971,1.71038857849,1.22258268794,1.94777210542,0.373140826653,0.0,-0.594034060109,0.396917528865,2.04019444789,1.40627688729,-1.67510702037,1.89638374902,-2.26262166213,0.0
31.306696,0.578310757033,0.226262166213,-2.06320415971,1.71038857849,1.22258268794,1.94777210542,0.373140826653,0.0,-0.594034060109,0.396917528865,2.04019444789,1.40627688729,-1.67510702037,1.89638374902,-2.26262166213,0.0
31.316718,0.577927261836,0.225495175819,-2.06320415971,1.71077207369,1.22219919275,1.94777210542,0.372373836259,0.0,-0.594034060109,0.397301024062,2.04019444789,1.40435941131,-1.67318954439,1.89715073942,-2.25955370056,0.0
31.326844,0.577543766639,0.225111680622,-2.0635876549,1.71077207369,1.22143220235,1.94738861022,0.372757331456,0.0,-0.594034060109,0.397301024062,2.0390439623,1.40014096414,-1.66820410683,1.89638374902,-2.2538012726,0.0
31.336866,0.578310757033,0.225111680622,-2.0639711501,1.71153906408,1.22258268794,1.94815560061,0.372373836259,0.0,-0.593650564912,0.397684519259,2.0382769719,1.39783999296,-1.66513614525,1.89638374902,-2.25073331102,0.0
31.346870,0.577543766639,0.225495175819,-2.06320415971,1.71077207369,1.22143220235,1.94853909581,0.372373836259,0.0,-0.592883574518,0.396917528865,2.0382769719,1.39515552658,-1.66206818367,1.89715073942,-2.24728185425,0.0
31.356876,0.576776776245,0.225111680622,-2.0639711501,1.71077207369,1.22143220235,1.94777210542,0.372757331456,0.0,-0.593267069715,0.397684519259,2.0382769719,1.39362154579,-1.6586167269,1.89676724422,-2.24344690228,0.0
31.366680,0.576776776245,0.225111680622,-2.0639711501,1.71077207369,1.22143220235,1.94777210542,0.372757331456,0.0,-0.593267069715,0.397684519259,2.0382769719,1.39362154579,-1.6586167269,1.89676724422,-2.24344690228,0.0
31.376877,0.577543766639,0.226262166213,-2.06320415971,1.71038857849,1.22181569755,1.94777210542,0.372373836259,0.0,-0.593267069715,0.398068014456,2.03789347671,1.38863610823,-1.65209730855,1.89715073942,-2.23424301756,0.0
31.386691,0.577543766639,0.226262166213,-2.06320415971,1.71038857849,1.22181569755,1.94777210542,0.372373836259,0.0,-0.593267069715,0.398068014456,2.03789347671,1.38863610823,-1.65209730855,1.89715073942,-2.23424301756,0.0
